title,event,institution,loc,start,end,section,color,fontcolor,description_1,description_2,description_3,in_resume
Otto et al. 2020,Otto et al. 2020,"Cambridge, UK","Cambridge, UK",05/06/2020,05/06/2020,publications,#8FDA04,#4D4D4D,Input Connectivity Reveals Additional Heterogeneity of Dopaminergic Reinforcement in Drosophila,,,TRUE
Marin et al. 2020,Marin et al. 2020,"Cambridge, UK","Cambridge, UK",01/07/2020,01/07/2020,publications,#8FDA04,#4D4D4D,"Connectomics Analysis Reveals First-, Second-, and Third-Order Thermosensory and Hygrosensory Neurons in the Adult Drosophila Brain",,,TRUE
Eckstein et al. 2020,Eckstein et al. 2020,"Cambridge, UK","Cambridge, UK",06/07/2020,06/07/2020,publications,#8FDA04,#4D4D4D,Neurotransmitter Classification from Electron Microscopy Images at Synaptic Sites in Drosophila ,,,TRUE
Scheffer et al. 2020,Scheffer et al. 2020,"Cambridge, UK","Cambridge, UK",03/09/2020,03/09/2020,publications,#8FDA04,#4D4D4D,A connectome and analysis of the adult Drosophila central brain,,,TRUE
Cachero et al. 2020,Cachero et al. 2020,"Cambridge, UK","Cambridge, UK",02/11/2020,02/11/2020,publications,#8FDA04,#4D4D4D,"BAcTrace, a tool for retrograde tracing of neuronal circuits in Drosophila",,,TRUE
Li et al. 2020,Li et al. 2020,"Cambridge, UK","Cambridge, UK",14/12/2020,14/12/2020,publications,#8FDA04,#4D4D4D,The connectome of the adult Drosophila mushroom body provides insights into function,,,TRUE
Schlegel and Bates et al. 2021,Schlegel and Bates et al. 2021,"Cambridge, UK","Cambridge, UK",01/06/2021,01/06/2021,publications,#EE4244,#4D4D4D,"Information flow, cell types and stereotypy in a full olfactory connectome ",,,TRUE
Visiting Scientist,Cambridge,"Dept. Zoology, University of Cambridge",remote,01/10/2020,present,research_projects,#5CA700,#4D4D4D,Neuroinformatics work with the [Drosophila Connectomics Group](https://www.zoo.cam.ac.uk/research/groups/connectomics),Developed R tools for neuroanatomy and connectomics,,TRUE
Postdoctoral Fellow in Neurobiology,HMS,Harvard Medical School,"Boston, US",01/10/2020,present,research_projects,#D72000,#4D4D4D,Member of the laboratory of [Prof. Rachel Wilson](https://neuro.hms.harvard.edu/faculty-staff/rachel-wilson),"Working on navigationaly circuitry, using calcium imaging, neurophysiology and behavioural studies involving virtual reality with D. melanogaster",,TRUE
LMB GSA Symposium,LMB symposium,"MRC LMB, University of Cambridge","Cambridge, UK",01/05/2016,01/05/2016,posters,#D5A848,#4D4D4D,,,,TRUE
High-resolution circuit reconstruction meeting,Janelia EM,Janelia Research Campus,"Ashburn, US",01/07/2016,01/07/2016,posters,#D5A848,#4D4D4D,,,,TRUE
Maggot Meeting,Janelia maggot meeting,Janelia Research Campus,"Ashburn, US",01/09/2016,01/09/2016,posters,#D5A848,#4D4D4D,,,,TRUE
UK Neural Computation,Neural Comp,University of Nottingham,"Nottingham, UK",01/09/2019,01/09/2019,posters,#D5A848,#4D4D4D,,,,TRUE
Boehringer Ingelheim Fonds communication workshop,BIF communications,Boehringer Ingelheim Foundation,"Mainz, Germany",01/09/2017,01/09/2017,posters,#D5A848,#4D4D4D,,,,TRUE
